,Guest star,Episode title
427,Butch Patrick,"""Eight Misbehavin'""[242]"
428,Marcia Wallace,"""Eight Misbehavin'"""
429,Frank Welker,"""Eight Misbehavin'""[243]"
430,John Goodman,"""Take My Wife, Sleaze""[244]"
431,Jan Hooks,"""Take My Wife, Sleaze""[244]"
432,Jay North,"""Take My Wife, Sleaze""[244]"
433,NRBQ,"""Take My Wife, Sleaze""[244]"
434,Marcia Wallace,"""Take My Wife, Sleaze"""
435,Henry Winkler,"""Take My Wife, Sleaze""[244]"
436,Clarence Clemons,"""Grift of the Magi""[245]"
437,Gary Coleman,"""Grift of the Magi""[245]"
438,Joe Mantegna,"""Grift of the Magi""[245]"
439,Tim Robbins,"""Grift of the Magi""[245]"
440,Marcia Wallace,"""Grift of the Magi"""
441,Elwood Edwards,"""Little Big Mom""[246]"
442,Marcia Wallace,"""Little Big Mom"""
443,Don Cheadle,"""Faith Off""[247]"
444,Joe Mantegna,"""Faith Off""[247]"
445,Marcia Wallace,"""Faith Off"""
446,Britney Spears,"""The Mansion Family""[248]"
447,Randy Bachman,"""Saddlesore Galactica""[249]"
448,Jim Cummings,"""Saddlesore Galactica""[70]"
449,Trevor Denman,"""Saddlesore Galactica""[249]"
450,Fred Turner,"""Saddlesore Galactica""[249]"
451,Shawn Colvin,"""Alone Again, Natura-Diddily""[250]"
452,Marcia Wallace,"""Alone Again, Natura-Diddily"""
453,Frank Welker,"""Alone Again, Natura-Diddily""[70]"
454,Betty White,"""Missionary: Impossible""[251]"
455,Marcia Wallace,"""Pygmoelian"""
456,Marcia Wallace,"""Days of Wine and D'oh'ses"""
457,Diedrich Bader,"""Kill the Alligator and Run""[252]"
458,Joe C.,"""Kill the Alligator and Run""[252]"
459,Robert Evans,"""Kill the Alligator and Run""[252]"
460,Kid Rock,"""Kill the Alligator and Run""[252]"
461,Charlie Rose,"""Kill the Alligator and Run""[252]"
462,Frank Welker,"""Last Tap Dance in Springfield""[70]"
463,Parker Posey,"""It's a Mad, Mad, Mad, Mad Marge""[253]"
464,Marcia Wallace,"""It's a Mad, Mad, Mad, Mad Marge"""
465,Marc Wilmore,"""It's a Mad, Mad, Mad, Mad Marge""[70]"
466,Jim Forbes,"""Behind the Laughter""[254]"
467,Willie Nelson,"""Behind the Laughter""[254]"
468,Marcia Wallace,"""Behind the Laughter"""
469,Frank Welker,"""Treehouse of Horror XI"""
470,Gary Coleman,"""A Tale of Two Springfields""[255]"
471,Marcia Wallace,"""A Tale of Two Springfields"""
472,Frank Welker,"""A Tale of Two Springfields""[70]"
473,The Who[N],"""A Tale of Two Springfields""[255]"
474,Drew Barrymore,"""Insane Clown Poppy""[256]"
475,Stephen King,"""Insane Clown Poppy""[256]"
476,Joe Mantegna,"""Insane Clown Poppy""[256]"
477,Jay Mohr,"""Insane Clown Poppy""[256]"
478,Amy Tan,"""Insane Clown Poppy""[256]"
479,John Updike,"""Insane Clown Poppy""[256]"
480,Joshua Jackson,"""Lisa the Tree Hugger""[257]"
481,Leeza Gibbons,"""Homer vs. Dignity""[258]"
482,Marcia Wallace,"""Homer vs. Dignity"""
483,Patrick McGoohan,"""The Computer Wore Menace Shoes""[259]"
484,Marcia Wallace,"""The Computer Wore Menace Shoes"""
485,Edward Norton,"""The Great Money Caper""[260]"
486,Marcia Wallace,"""Skinner's Sense of Snow"""
487,Michael Keaton,"""Pokey Mom""[261]"
488,Charles Napier,"""Pokey Mom""[261]"
489,Robert Schimmel,"""Pokey Mom""[261]"
490,Bruce Vilanch,"""Pokey Mom""[261]"
491,Marcia Wallace,"""Pokey Mom"""
492,Neil Armstrong (archival),"""Worst Episode Ever"""
493,Johnnie Cochran (archival),"""Worst Episode Ever"""
494,Richard Nixon (archival),"""Worst Episode Ever"""
495,Tom Savini,"""Worst Episode Ever""[262]"
496,Andre Agassi,"""Tennis the Menace""[263]"
497,Pete Sampras,"""Tennis the Menace""[263]"
498,Marcia Wallace,"""Tennis the Menace"""
499,Serena Williams,"""Tennis the Menace""[263]"
500,Venus Williams,"""Tennis the Menace""[263]"
501,Gary Coleman,"""Day of the Jackanapes""[264]"
502,Kelsey Grammer,"""Day of the Jackanapes""[264]"
503,'N Sync[O],"""New Kids on the Blecch""[265]"
504,Tony Battaglia,"""New Kids on the Blecch""[266]"
505,Ben Bledsoe,"""New Kids on the Blecch""[266]"
506,"Michael ""J"" Horn","""New Kids on the Blecch""[266]"
507,Marc Terenzi,"""New Kids on the Blecch""[266]"
508,Stacy Keach,"""Hungry, Hungry Homer""[267]"
509,Marcia Wallace,"""Hungry, Hungry Homer"""
510,Kathy Griffin,"""Bye Bye Nerdie""[268]"
511,Jan Hooks,"""Bye Bye Nerdie""[268]"
512,Marcia Wallace,"""Bye Bye Nerdie"""
513,Frank Welker,"""Simpson Safari""[70]"
514,Joe Mantegna,"""Trilogy of Error""[269]"
515,Frankie Muniz,"""Trilogy of Error""[269]"
516,Shawn Colvin,"""I'm Goin' to Praiseland""[270]"
517,Marcia Wallace,"""I'm Goin' to Praiseland"""
518,Marcia Wallace,"""Simpsons Tall Tales"""
519,Frank Welker,"""Simpsons Tall Tales""[70]"
520,Pierce Brosnan,"""Treehouse of Horror XII""[271]"
521,Matthew Perry,"""Treehouse of Horror XII""[271]"
522,Marcia Wallace,"""Treehouse of Horror XII"""
523,Jess Harnell,"""The Parent Rap""[70]"
524,Jane Kaczmarek,"""The Parent Rap""[272]"
525,Marcia Wallace,"""The Parent Rap"""
526,R.E.M.[P],"""Homer the Moe""[273]"
527,Julia Louis-Dreyfus,"""A Hunka Hunka Burns in Love""[274]"
528,George Takei,"""A Hunka Hunka Burns in Love""[274]"
529,Joe Mantegna,"""The Blunder Years""[275]"
530,Paul Newman,"""The Blunder Years""[275]"
531,Judith Owen,"""The Blunder Years""[275]"
532,Richard Gere,"""She of Little Faith""[276]"
533,Jane Kaczmarek,"""Brawl in the Family""[277]"
534,Delroy Lindo,"""Brawl in the Family""[277]"
535,Ben Stiller,"""Sweets and Sour Marge""[278]"
536,Dana Gould,"""Jaws Wired Shut""[70]"
537,John Kassir,"""Jaws Wired Shut""[70]"
538,Jon Lovitz,"""Half-Decent Proposal""[279]"
539,Marcia Wallace,"""Half-Decent Proposal"""
540,Wolfgang Puck,"""The Bart Wants What It Wants""[280]"
541,Reese Witherspoon,"""The Bart Wants What It Wants""[280]"
542,Dennis Weaver,"""The Lastest Gun in the West""[281]"
543,Frank Welker,"""The Lastest Gun in the West""[281]"
544,Olympia Dukakis,"""The Old Man and the Key""[282]"
545,Bill Saluga,"""The Old Man and the Key""[282]"
546,Sally Stevens,"""Tales from the Public Domain"""
547,Phish[Q],"""Weekend at Burnsie's""[283]"
548,Stan Lee,"""I Am Furious (Yellow)""[284]"
549,Marcia Wallace,"""I Am Furious (Yellow)"""
550,James Lipton,"""The Sweetest Apu""[285]"
551,Robert Pinsky,"""Little Girl in the Big Ten""[286]"
552,Carmen Electra,"""The Frying Game""[287]"
553,Frances Sternhagen,"""The Frying Game""[287]"
554,Joe Mantegna,"""Poppa's Got a Brand New Badge""[288]"
555,Marcia Wallace,"""Poppa's Got a Brand New Badge"""
556,Elvis Costello,"""How I Spent My Strummer Vacation""[289]"
557,Mick Jagger,"""How I Spent My Strummer Vacation""[289]"
558,Lenny Kravitz,"""How I Spent My Strummer Vacation""[289]"
559,Tom Petty,"""How I Spent My Strummer Vacation""[289]"
560,Keith Richards,"""How I Spent My Strummer Vacation""[289]"
561,Brian Setzer,"""How I Spent My Strummer Vacation""[289]"
562,Marcia Wallace,"""How I Spent My Strummer Vacation"""
563,Tony Bennett,"""Bart vs. Lisa vs. the Third Grade""[290]"
564,Marcia Wallace,"""Bart vs. Lisa vs. the Third Grade"""
565,Baha Men[R],"""Large Marge""[291]"
566,Jan Hooks,"""Large Marge""[291]"
567,Marcia Wallace,"""Large Marge"""
568,Burt Ward,"""Large Marge""[291]"
569,Adam West,"""Large Marge""[291]"
570,Larry Holmes,"""Helter Shelter""[292]"
571,David Lander,"""Helter Shelter""[292]"
572,Kelsey Grammer,"""The Great Louse Detective""[293]"
573,Sally Stevens,"""The Great Louse Detective""[293]"
574,Little Richard,"""Special Edna""[294]"
575,Marcia Wallace,"""Special Edna"""
576,Elliott Gould,"""The Dad Who Knew Too Little""[295]"
577,Pamela Reed,"""Strong Arms of the Ma""[296]"
578,Ken Burns,"""Pray Anything"""
579,Lisa Leslie,"""Pray Anything""[297]"
580,Blink-182[S],"""Barting Over""[298]"
581,Tony Hawk,"""Barting Over""[298]"
582,Jane Kaczmarek,"""Barting Over""[298]"
583,Marcia Wallace,"""Barting Over"""
584,George Plimpton,"""I'm Spelling as Fast as I Can""[299]"
585,James L. Brooks,"""A Star Is Born Again""[300]"
586,Helen Fielding,"""A Star Is Born Again""[300]"
587,Gene Merlino,"""A Star Is Born Again"""
588,Marisa Tomei,"""A Star Is Born Again""[300]"
589,Marcia Wallace,"""A Star Is Born Again"""
590,Joe Mantegna,"""Mr. Spritz Goes to Washington""[301]"
591,Eric Idle,"""'Scuse Me While I Miss the Sky""[302]"
592,Joe Mantegna,"""'Scuse Me While I Miss the Sky""[302]"
593,Marcia Wallace,"""'Scuse Me While I Miss the Sky"""
594,Terry W. Greene,"""Three Gays of the Condo"""
595,Ben Schatz,"""Three Gays of the Condo""[303]"
596,Scott Thompson,"""Three Gays of the Condo""[303]"
597,"""Weird Al"" Yankovic","""Three Gays of the Condo""[303]"
598,David Byrne,"""Dude, Where's My Ranch?""[304]"
599,Andy Serkis,"""Dude, Where's My Ranch?""[304]"
600,Jonathan Taylor Thomas,"""Dude, Where's My Ranch?""[304]"
601,Stacy Keach,"""Old Yeller Belly""[305]"
602,John Kassir,"""Old Yeller Belly""[70]"
603,Jackson Browne,"""Brake My Wife, Please""[306]"
604,Steve Buscemi,"""Brake My Wife, Please""[306]"
605,Jane Kaczmarek,"""Brake My Wife, Please""[306]"
606,Marcia Wallace,"""Brake My Wife, Please"""
607,Joe Mantegna,"""Moe Baby Blues""[307]"
608,Oscar De La Hoya,"""Treehouse of Horror XIV""[308]"
609,Jennifer Garner,"""Treehouse of Horror XIV""[308]"
610,Dudley R. Herschbach,"""Treehouse of Horror XIV""[308]"
611,Jerry Lewis,"""Treehouse of Horror XIV""[308]"
612,Glenn Close,"""My Mother the Carjacker""[309]"
613,Michael Moore,"""The President Wore Pearls""[310]"
614,Marcia Wallace,"""The President Wore Pearls"""
615,Tony Blair,"""The Regina Monologues""[311]"
616,Jane Leeves,"""The Regina Monologues""[311]"
617,Evan Marriott,"""The Regina Monologues""[311]"
618,Ian McKellen,"""The Regina Monologues""[311]"
619,J. K. Rowling,"""The Regina Monologues""[311]"
620,Charles Napier,"""The Fat and the Furriest""[312]"
621,Jackie Mason,"""Today I Am A Clown""[313]"
622,Mr. T,"""Today I Am A Clown""[313]"
623,Jim Gilstrap,"""'Tis the Fifteenth Season""[70]"
624,Marcia Wallace,"""Marge vs. Singles, Seniors, Childless Couples and Teens and Gays"""
625,Tom Clancy,"""Diatribe of a Mad Housewife""[314]"
626,Ashley Olsen,"""Diatribe of a Mad Housewife""[314]"
627,Mary-Kate Olsen,"""Diatribe of a Mad Housewife""[314]"
628,Thomas Pynchon,"""Diatribe of a Mad Housewife""[314]"
629,Nick Bakay,"""Milhouse Doesn't Live Here Anymore""[315]"
630,William Daniels,"""Milhouse Doesn't Live Here Anymore""[315]"
631,Isabel Sanford,"""Milhouse Doesn't Live Here Anymore""[315]"
632,Dick Tufeld,"""Milhouse Doesn't Live Here Anymore""[315]"
633,Marcia Wallace,"""Milhouse Doesn't Live Here Anymore"""
634,Simon Cowell,"""Smart and Smarter""[316]"
635,Jon Lovitz,"""The Ziff Who Came to Dinner""[317]"
636,Brave Combo,"""Co-Dependent's Day""[318]"
637,Marcia Wallace,"""Co-Dependent's Day"""
638,Sarah Michelle Gellar,"""The Wandering Juvie""[319]"
639,Jane Kaczmarek,"""The Wandering Juvie""[319]"
640,Charles Napier,"""The Wandering Juvie""[319]"
641,Marcia Wallace,"""The Wandering Juvie"""
642,Matt Groening,"""My Big Fat Geek Wedding""[320]"
643,Marcia Wallace,"""My Big Fat Geek Wedding"""
644,Mark Campbell,"""Simple Simpson""[70]"
645,Nichelle Nichols,"""Simple Simpson""[70][321]"
646,Marcia Wallace,"""The Bart-Mangled Banner"""
647,Marie Cain,"""Treehouse of Horror XV"""
648,James Caan,"""All's Fair in Oven War""[322]"
649,Thomas Pynchon,"""All's Fair in Oven War""[322]"
650,Marcia Wallace,"""All's Fair in Oven War"""
651,Marcia Wallace,"""Sleeping with the Enemy"""
652,Kim Cattrall,"""She Used to Be My Girl""[323]"
653,Michael Dees,"""She Used to Be My Girl"""
654,Terry W. Greene,"""Fat Man and Little Boy"""
655,Eric Idle,"""Fat Man and Little Boy""[324]"
656,Tom Brady,"""Homer and Ned's Hail Mary Pass""[325]"
657,LeBron James,"""Homer and Ned's Hail Mary Pass""[325]"
658,Michelle Kwan,"""Homer and Ned's Hail Mary Pass""[325]"
659,Warren Sapp,"""Homer and Ned's Hail Mary Pass""[325]"
660,Yao Ming,"""Homer and Ned's Hail Mary Pass""[325]"
661,50 Cent,"""Pranksta Rap""[326]"
662,Dana Gould,"""Pranksta Rap"""
663,Marcia Wallace,"""There's Something About Marrying"""
664,Gary Busey,"""On a Clear Day I Can't See My Sister""[327]"
665,Jane Kaczmarek,"""On a Clear Day I Can't See My Sister""[327]"
666,Marcia Wallace,"""On a Clear Day I Can't See My Sister"""
667,Lucy Liu,"""Goo Goo Gai Pan""[328]"
668,Robert Wagner,"""Goo Goo Gai Pan""[328]"
669,Frank Gehry,"""The Seven-Beer Snitch""[329]"
670,Joe Mantegna,"""The Seven-Beer Snitch""[329]"
671,Charles Napier,"""The Seven-Beer Snitch""[329]"
672,John DiMaggio,"""Future-Drama""[330]"
673,Amy Poehler,"""Future-Drama""[330]"
674,Marcia Wallace,"""Future-Drama"""
675,Stephen Hawking,"""Don't Fear the Roofer""[331]"
676,Ray Romano,"""Don't Fear the Roofer""[331]"
677,Albert Brooks,"""The Heartbroke Kid""[332]"
678,Marcia Wallace,"""The Heartbroke Kid"""
679,Fantasia Barrino,"""A Star Is Torn""[333]"
680,Baha Men,"""Thank God, It's Doomsday""[334]"
681,Los Lobos,"""Thank God, It's Doomsday""[335]"
682,Jason Bateman,"""Home Away from Homer""[336]"
683,Liam Neeson,"""The Father, the Son, and the Holy Guest Star""[337]"
684,Marcia Wallace,"""The Father, the Son, and the Holy Guest Star"""
685,Alec Baldwin,"""Bonfire of the Manatees""[338]"
686,Joe Mantegna,"""Bonfire of the Manatees""[338]"
687,Terry Bradshaw,"""Treehouse of Horror XVI""[339]"
688,Terry W. Greene,"""Treehouse of Horror XVI"""
689,Dennis Rodman,"""Treehouse of Horror XVI""[339]"
690,Lily Tomlin,"""The Last of the Red Hat Mamas""[340]"
691,Maria Grazia Cucinotta,"""The Italian Bob""[341]"
692,Kelsey Grammer,"""The Italian Bob""[341]"
693,Marcia Wallace,"""The Italian Bob"""
694,Joe Frazier,"""Homer's Paternity Coot""[342]"
695,William H. Macy,"""Homer's Paternity Coot""[342]"
696,Michael York,"""Homer's Paternity Coot""[342]"
697,Marcia Wallace,"""We're on the Road to D'ohwhere"""
698,Marcia Wallace,"""My Fair Laddy"""
699,Michael Dees,"""The Seemingly Never-Ending Story"""
700,Maurice LaMarche,"""The Seemingly Never-Ending Story""[343]"
701,Marcia Wallace,"""The Seemingly Never-Ending Story"""
702,Antonio Fargas,"""Bart Has Two Mommies""[344]"
703,Randy Johnson,"""Bart Has Two Mommies""[344]"
704,Susan Sarandon,"""Bart Has Two Mommies""[344]"
705,Dave Thomas,"""Bart Has Two Mommies""[344]"
706,Ricky Gervais,"""Homer Simpson, This Is Your Wife""[345]"
707,Marcia Wallace,"""Homer Simpson, This Is Your Wife"""
708,Michael Carrington,"""Million Dollar Abie""[70]"
709,Rob Reiner,"""Million Dollar Abie""[346]"
710,Richard Dean Anderson,"""Kiss Kiss, Bang Bangalore""[347]"
711,Meher Tatna,"""Kiss Kiss, Bang Bangalore""[70]"
712,Amick Byram,"""Girls Just Want to Have Sums"""
713,Jim Gilstrap,"""Girls Just Want to Have Sums""[70]"
714,Bob Joyce,"""Girls Just Want to Have Sums"""
715,Frances McDormand,"""Girls Just Want to Have Sums""[348]"
716,Sally Stevens,"""Girls Just Want to Have Sums"""
717,Marcia Wallace,"""Girls Just Want to Have Sums"""
718,Oren Waters,"""Girls Just Want to Have Sums"""
719,Sal Bando,"""Regarding Margie""[349]"
720,Gene Tenace,"""Regarding Margie""[349]"
721,Marcia Wallace,"""Regarding Margie"
722,Melanie Griffith,"""The Monkey Suit""[350]"
723,Larry Hagman,"""The Monkey Suit""[350]"
724,Stacy Keach,"""Marge and Homer Turn a Couple Play""[351]"
725,Mandy Moore,"""Marge and Homer Turn a Couple Play""[351]"
726,Michael Imperioli,"""The Mook, the Chef, the Wife and Her Homer""[352]"
727,Joe Mantegna,"""The Mook, the Chef, the Wife and Her Homer""[352]"
728,Metallica[T],"""The Mook, the Chef, the Wife and Her Homer""[352]"
729,Joe Pantoliano,"""The Mook, the Chef, the Wife and Her Homer""[352]"
730,Larina Jean Adamson,"""Jazzy and the Pussycats"""
731,The White Stripes[U],"""Jazzy and the Pussycats""[353]"
732,Fran Drescher,"""Treehouse of Horror XVII""[354]"
733,Maurice LaMarche,"""Treehouse of Horror XVII""[354]"
734,Richard Lewis,"""Treehouse of Horror XVII""[354]"
735,Phil McGraw,"""Treehouse of Horror XVII""[354]"
736,Sir Mix-a-Lot,"""Treehouse of Horror XVII""[354]"
737,Marcia Wallace,"""Treehouse of Horror XVII"""
738,Maurice LaMarche,"""G.I. (Annoyed Grunt)""[355]"
739,Kiefer Sutherland,"""G.I. (Annoyed Grunt)""[355]"
740,Michael Chabon,"""Moe'N'a Lisa""[356]"
741,Jonathan Franzen,"""Moe'N'a Lisa""[356]"
742,J. K. Simmons,"""Moe'N'a Lisa""[356]"
743,Gore Vidal,"""Moe'N'a Lisa""[356]"
744,Tom Wolfe,"""Moe'N'a Lisa""[356]"
745,Elvis Stojko,"""Kill Gil, Volumes I & II""[357]"
746,Dana Gould,"""The Wife Aquatic"""
747,Maurice LaMarche,"""The Wife Aquatic""[358]"
748,Sab Shimono,"""The Wife Aquatic""[358]"
749,Natalie Portman,"""Little Big Girl""[359]"
750,Eric Idle,"""Springfield Up""[360]"
751,Peter Bogdanovich,"""Yokel Chords""[361]"
752,Andy Dick,"""Yokel Chords""[361]"
753,James Patterson,"""Yokel Chords""[361]"
754,Meg Ryan,"""Yokel Chords""[361]"
755,Stephen Sondheim,"""Yokel Chords""[361]"
756,Marcia Wallace,"""Yokel Chords"""
757,Jane Kaczmarek,"""Rome-old and Juli-eh""[362]"
758,Jon Lovitz,"""Homerazzi""[363]"
759,J. K. Simmons,"""Homerazzi""[363]"
760,Betty White,"""Homerazzi""[363]"
761,Ronaldo,"""Marge Gamer""[364]"
762,Marcia Wallace,"""Marge Gamer"""
763,Rudy Giuliani[V],"""Stop or My Dog Will Shoot""[365]"
764,Stephen Hawking,"""Stop or My Dog Will Shoot""[366]"
765,Maurice LaMarche,"""Stop or My Dog Will Shoot""[366]"
766,Marcia Wallace,"""Stop or My Dog Will Shoot"""
767,Mary Lynn Rajskub,"""24 Minutes""[367]"
768,Kiefer Sutherland,"""24 Minutes""[367]"
769,Maurice LaMarche,"""You Kent Always Say What You Want""[368]"
770,Ludacris,"""You Kent Always Say What You Want""[368]"
771,Albert Brooks,The Simpsons Movie[369]
772,Green Day[W],The Simpsons Movie[369]
773,Tom Hanks,The Simpsons Movie[369]
774,Joe Mantegna,The Simpsons Movie[369]
775,Phil Rosenthal,The Simpsons Movie[369]
776,Marcia Wallace,The Simpsons Movie[369]
777,Stephen Colbert,"""He Loves to Fly and He D'ohs""[370]"
778,Lionel Richie,"""He Loves to Fly and He D'ohs""[370]"
779,Plácido Domingo,"""Homer of Seville""[371]"
780,Maya Rudolph,"""Homer of Seville""[371]"
781,Matt Dillon,"""Midnight Towboy""[372]"
782,Steve Buscemi,"""I Don't Wanna Know Why the Caged Bird Sings""[373]"
783,Julia Louis-Dreyfus,"""I Don't Wanna Know Why the Caged Bird Sings""[373]"
784,Ted Nugent,"""I Don't Wanna Know Why the Caged Bird Sings""[373]"
785,Maurice LaMarche,"""Treehouse of Horror XVIII""[70]"
786,Jack Black,"""Husbands and Knives""[374][375]"
787,Daniel Clowes,"""Husbands and Knives""[374][375]"
788,Maurice LaMarche,"""Husbands and Knives""[374][375]"
789,Sang Am Lee,"""Husbands and Knives""[374][375]"
790,Alan Moore,"""Husbands and Knives""[374][375]"
791,Art Spiegelman,"""Husbands and Knives""[374][375]"
792,Kelsey Grammer,"""Funeral for a Fiend""[376]"
793,John Mahoney,"""Funeral for a Fiend""[376]"
794,Keith Olbermann,"""Funeral for a Fiend""[376]"
795,David Hyde Pierce,"""Funeral for a Fiend""[376]"
796,Dan Rather,"""E Pluribus Wiggum""[377]"
797,Jon Stewart,"""E Pluribus Wiggum""[377]"
798,Michael Dees,"""That '90s Show"""
799,Kurt Loder,"""That '90s Show""[378]"
800,"""Weird Al"" Yankovic","""That 90's Show""[378]"
801,Topher Grace,"""The Debarted""[379]"
802,Terry Gross,"""The Debarted""[379]"
803,Marcia Wallace,"""The Debarted""[379]"
804,Marcia Wallace,"""Dial ""N"" for Nerder"""
805,Beverly D'Angelo,"""Papa Don't Leech""[380]"
806,Dixie Chicks[X],"""Papa Don't Leech""[380]"
807,Zooey Deschanel,"""Apocalypse Cow""[381]"
808,Jim Jarmusch,"""Any Given Sundance""[382]"
809,John C. Reilly,"""Any Given Sundance""[382]"
810,Lance Armstrong,"""Mona Leaves-a""[383]"
811,Glenn Close,"""Mona Leaves-a""[383]"
812,Drew Carey,"""All About Lisa""[384]"
813,Robert Forster,"""Sex, Pies and Idiot Scrapes""[385]"
814,Julia Louis-Dreyfus,"""Sex, Pies and Idiot Scrapes""[385]"
815,Joe Mantegna,"""Sex, Pies and Idiot Scrapes""[385]"
816,Brian Grazer,"""Lost Verizon""[386]"
817,Denis Leary,"""Lost Verizon""[386]"
818,Joe Montana,"""Double, Double, Boy in Trouble""[387]"
819,Marcia Wallace,"""Treehouse of Horror XIX"""
820,Maurice LaMarche,"""Dangerous Curves""[388]"
821,Merl Reagle,"""Homer and Lisa Exchange Cross Words""[389]"
822,Will Shortz,"""Homer and Lisa Exchange Cross Words""[389]"
823,Scott Thompson,"""Homer and Lisa Exchange Cross Words""[389]"
824,Marcia Wallace,"""Homer and Lisa Exchange Cross Words"""
825,Shohreh Aghdashloo,"""Mypods and Boomsticks""[390]"
826,Marv Albert,"""The Burns and the Bees""[391]"
827,Jeff Bezos,"""The Burns and the Bees""[391]"
828,Mark Cuban,"""The Burns and the Bees""[391]"
829,Emily Blunt,"""Lisa the Drama Queen""[392]"
830,Fall Out Boy,"""Lisa the Drama Queen""[392]"
831,Marcia Wallace,"""Take My Life, Please"""
832,Marcia Wallace,"""How the Test Was Won"""
833,Maurice LaMarche,"""No Loan Again, Naturally""[70]"
834,Marcia Wallace,"""No Loan Again, Naturally"""
835,"Ed Begley, Jr.","""Gone Maggie Gone""[393]"
836,Glen Hansard,"""In the Name of the Grandfather""[394]"
837,Markéta Irglová,"""In the Name of the Grandfather""[394]"
838,Colm Meaney,"""In the Name of the Grandfather""[394]"
839,Marcia Wallace,"""In the Name of the Grandfather"""
840,Kelsey Grammer,"""Wedding for Disaster""[395]"
841,Anne Hathaway,"""The Good, the Sad and the Drugly""[396]"
842,Marcia Wallace,"""Father Knows Worst"""
843,Maurice LaMarche,"""Waverly Hills 9-0-2-1-D'oh""[397]"
844,Elliot Page[Y],"""Waverly Hills 9-0-2-1-D'oh""[397]"
845,Marcia Wallace,"""Waverly Hills 9-0-2-1-D'oh"""
846,Jodie Foster,"""Four Great Women and a Manicure""[398]"
