Season_Number,Episode_Number,Most_Common_Phrase,Occurrences
1,1,Homer: Doh!,3
1,2,What?,3
1,3,Oh.,3
1,4,Hey!,3
1,5,Aah!,4
1,6,What?,3
1,7,No!,3
1,8,Oh.,3
1,9,Oh!,4
1,10,"Well, okay.",3
1,11,I like to play with you.,3
1,12,Big shoes to fill. Big shoes to fill.,3
1,13,Aaah!,5
2,1,"Yes, ma'am.",5
2,2,Green.,2
2,3,Nevermore,3
2,4,Just resting my eyes!,2
2,5,"Well, okay.",2
2,6,Okay.,3
2,7,Sorry.,3
2,8,What?,3
2,9,When do we want it?,3
2,10,No.,3
2,11,"Please, Dad?",3
2,12,Homer?,3
2,13,Yes.,4
2,14,Must find man.,3
2,15,No.,3
2,16,Assassins!,3
2,17,No.,2
2,18,Will you take us to Mt. Splashmore?,6
2,19,No.,3
2,20,What?,3
2,21,No.,3
2,22,What?,3
3,1,MichaelJackson?!,8
3,2,Thank you.,3
3,3,D'oh!,3
3,4,D'oh!,2
3,5,Huh?,3
3,6,Hello?,5
3,7,Aahh!,4
3,8,No.,5
3,9,Mmm.,4
3,10,"Hey, Homer.",12
3,11,D'oh!,5
3,12,Mmm.,6
3,13,D'oh!,6
3,14,D'oh!,4
3,15,D'oh!,4
3,16,Hmm.,4
3,17,Darryl.,6
3,18,Hmm.,3
3,19,D'oh!,5
3,20,Uh-huh.,4
3,21,MacGyver...,3
3,22,Oy!,3
3,23,Eww!,3
3,24,D'oh!,3
4,1,D'oh!,2
4,2,Next!,3
4,3,Whoo-hoo!,2
4,4,Uh-huh.,2
4,5,D'oh!,2
4,6,Ohh.,3
4,7,Hey!,2
4,8,Hey!,3
4,9,D'oh!,3
4,10,Homer.,4
4,11,Bed goes up. Bed goes down.,3
4,12,Get to the money!,4
4,13,Ahh!,3
4,14,Hit me.,3
4,15,"Yes, Ralph?",2
4,16,D'oh!,3
4,17,Dental plan!,7
4,18,D'oh! D'oh! D'oh! D'oh! D'oh!,5
4,19,Hee-hee-hee.,4
4,20,Yes.,2
4,21,Happy birthday.,2
4,22,Yeah.,3
5,1,Ooh!,3
5,2,"Hello, Mr. Thompson.",3
5,3,D'oh!,3
5,4,Shh!,2
5,5,No.,2
5,6,Homer?,2
5,7,Hmm?,5
5,8,Keep away!,5
5,9,Uh--,2
5,10,Yea!,6
5,11,Sorry.,3
5,12,I didn't do it.,8
5,13,Are we in lndia yet?,3
5,14,Yes.,3
5,15,Check.,3
5,16,Yeah.,3
5,17,Pyle!,3
5,18,Whoo-hoo!,2
5,19,Hmm.,3
5,20,And those.,3
5,21,Ooh.,3
6,1,"Can we have a pool, Dad?",3
6,2,Me too.,4
6,3,No.,3
6,4,No.,2
6,5,Ugh! That Barlow's a right-wing crackpot.,1
6,6,D'oh!,4
6,7,I'm a troll man.,2
6,8,No.,3
6,9,Precious Venus.,2
6,10,No.,4
6,11,Okay.,4
6,12,We do We do.,6
6,13,Okay.,3
6,14,No!,4
6,15,Krusty the Clown.,2
6,16,I'm sorry.,2
6,17,"Hey, Homer.",2
6,18,Excellent.,4
6,19,"Hi, Dad.",2
6,20,See my vest See my vest.,3
6,21,Yeah.,3
6,22,Death!,3
6,23,Marge!,2
6,24,A garbage man.,3
6,25,No.,2
7,1,D'oh!,3
7,2,"Watch out, Radioactive Man!",4
7,3,Mmm.,3
7,4,What?,3
7,5,You don't win friends with salad.,7
7,6,No. - No.,4
7,7,D'oh!,3
7,8,What?,3
7,9,D'oh!,2
7,10,Mmm.,3
7,11,Out!,2
7,12,Mmm.,2
7,13,D'oh!,4
7,14,D'oh!,3
7,15,"Oh, I'm sorry.",2
7,16,Hear ye! Hear ye!,4
7,17,"Yes, sir.",3
7,18,Okay.,3
7,19,"Dr. Zaius, Dr. Zaius.",6
7,20,Wow!,3
7,21,Ha-ha!,4
7,22,Bart's room.,3
7,23,No on 24.,5
7,24,Whoo-hoo!,3
7,25,Hmm.,3
8,1,What?,2
8,2,So long!,3
8,3,Yes!,2
8,4,Uh-oh.,2
8,5,No.,2
8,6,What?,2
8,7,Skinner!,2
8,8,Hmm.,2
8,9,D'oh!,3
8,10,"Agents Mulder and Scully, F.B.I.",2
8,11,Marge.,3
8,12,Huh?,3
8,13,No.,5
8,14,Please sign these papers indicating that you did not save Itchy and Scratchy.,2
8,15,"Ho, ho, ho.",4
8,16,Cecil?,2
8,17,Certainly.,2
8,18,Oh!,4
8,19,Hmm.,3
8,20,"Homer: Marge, mail's here.",2
8,21,No.,3
8,22,Wow!,3
8,23,"Yes, sir.",2
8,24,Hmm.,2
8,25,Hmm.,2
9,1,Oh!,3
9,2,Mmm.,5
9,3,Hmm.,3
9,4,Oooh!,2
9,5,Mmm!,3
9,6,What?,4
9,7,Oh.,3
9,8,"You mean, like... an angel?",2
9,9,Mm-hmm.,3
9,10,Ooh.,1
9,11,Bye.,2
9,12,Aaah!,3
9,13,I love the Leader.,3
9,14,Yeah.,3
9,15,Man: Hyah!,3
9,16,Huh?,3
9,17,Yea!,4
9,18,All right!,3
9,19,No!,4
9,20,"Sir, why did you wait until the last minute to pay your taxes?",2
9,21,Hmm.,4
9,22,Ow!,2
9,23,Huh?,3
9,24,Hmm.,3
9,25,Hmm.,3
10,1,Oh!,7
10,2,Hmm.,5
10,3,Hmm.,3
10,4,Oh.,3
10,5,"Well, if we'd left at 4:00 a.m like I wanted to-",2
10,6,Uh-oh.,3
10,7,Ah-choo!,3
10,8,"Hip, hip-",3
10,9,No!,3
10,10,Hmm.,3
10,11,Adults!,3
10,12,Nah.,3
10,13,And that's the end of that chapter.,3
10,14,Oh!,4
10,15,Eh?,2
10,16,Ohh!,5
10,17,Huh?,3
10,18,Hmm.,3
10,19,Whoo-hoo!,2
10,20,You sunk my battleship.,3
10,21,What?,4
10,22,Shut up-a your mouth!,2
10,23,Come on!,2
11,1,Bart!,1
11,2,"Hey, what's goin' on?",2
11,3,Sorry.,2
11,4,Help!,2
11,5,D'oh!,3
11,6,Homer!,3
11,7,Hmm.,3
11,8,Oh!,3
11,9,Yea!,2
11,10,Hey.,2
11,11,Yes!,3
11,12,Yes.,2
11,13,Whoo!,2
11,14,Finally.,2
11,15,D'oh!,2
11,16,Hmph!,2
11,17,Guys. the thing is. we totally have the money. and we tried to wire it to you.,2
11,18,Yeah.,2
11,19,Ow!,4
11,20,Oh!,2
11,21,Thank you.,2
11,22,Swings!,3
12,1,What?,3
12,2,Whoa!,2
12,3,Hmm.,2
12,4,I'm sorry.,2
12,5,Yea!,3
12,6,Hey!,3
12,7,What?,4
12,8,Huh?,4
12,9,Hmm.,2
12,10,Oh.,2
12,11,Ow! Now what was that for?,2
12,12,Aaah!,3
12,13,I was just thinking that.,3
12,14,Ow!,2
12,15,Huh?,3
12,16,Hmm.,2
12,17,Aaah!,7
12,18,Son of a diddly!,3
12,19,Oh.,2
12,20,Yes!,2
12,21,Mmm!,2
13,1,"Homer, no!",2
13,2,Uh-oh.,2
13,3,Uh...,2
13,4,Excellent.,2
13,5,Oh.,5
13,6,No!,3
13,7,D'oh!,2
13,8,Mmm.,3
13,9,Hmm.,3
13,10,Oh.,3
13,11,No!,2
13,12,D'oh!,2
13,13,Is that her? No.,3
13,14,Yarr!,2
13,15,Now that's what I call a moon shot.,2
13,16,Wear your love like heaven.,4
13,17,Will you take us to Mount Splashmore?,11
13,18,D'oh!,3
13,19,Oh.,2
13,20,D'oh!,1
13,21,D'oh!,1
13,22,Got yourself a gun.,2
14,1,"Hip, hip...",3
14,2,Oh.,6
14,3,No problem.,3
14,4,"Marge let her jugs out D'oh, d'oh, d'oh, d'oh.",4
14,5,"Hello, Laverne.",3
14,6,"Hello, Bart.",2
14,7,Unh!,2
14,8,Computer Voice: Unauthorized user. Access denied.,3
14,9,Woo-hoo!,3
14,10,Huh?,5
14,11,La-la-la-la-la.,2
14,12,Like a rib.,2
14,13,Oh!,4
14,14,No.,2
14,15,Hello.,5
14,16,Or you?,3
14,17,Three Gays of the Condo.,1
14,18,Yee-haw!,5
14,19,"Kent, let me make this perfectly clear.",2
14,20,Amble.,2
14,21,I smell smoke.,2
14,22,"Ooo, you make me live.",2
15,1,Ow!,2
15,2,No.,2
15,3,What?,2
15,4,Oh!,2
15,5,D'oh!,2
15,6,Oh...,2
15,7,Ha-ha!,2
15,8,"Three, four, pick up the floor.",7
15,9,All right!,2
15,10,D'oh!,2
15,11,"Sonata in A, K331, Third Movement!",2
15,12,Movin' on up.,5
15,13,"Go on, Maggie. You can do it.",2
15,14,Ah!,2
15,15,"Oh, my God!",2
15,16,Hmm...,2
15,17,Mmm-hmm.,2
15,18,Ahhh!,2
15,19,D'oh!,1
15,20,What about now?,4
15,21,They're coming to America.,3
15,22,D'oh!,2
16,1,Standing tall on the wings of my dream.,2
16,2,Mmm.,3
16,3,Oh!,3
16,4,Well...,2
16,5,Mmm-hmm.,3
16,6,D'oh!,2
16,7,D'oh!,1
16,8,Mmm-hmm.,4
16,9,Hmm.,4
16,10,"Que Sera, Sera.",2
16,11,Whoa!,3
16,12,Ling? Ling?,2
16,13,Oh!,4
16,14,Kill the rat!,3
16,15,You're gay for Moleman!,3
16,16,Huh?,3
16,17,Oh!,3
16,18,D'oh!,1
16,19,Who wants their hair cut?,3
16,20,Hmm.,4
16,21,I just can't remember what to yell out when you win.,2
17,1,Oh!,6
17,2,Oh!,3
17,3,California!,4
17,4,Uh!,3
17,5,Uh...,3
17,6,Mmm-hmm.,2
17,7,Yay!,4
17,8,Uh-oh.,2
17,9,Uh!,2
17,10,D'oh!,2
17,11,Mmm...,2
17,12,Hmm.,3
17,13,Yee-haw!,4
17,14,Hmm.,3
17,15,I'll do it!,3
17,16,Springfield blows.,2
17,17,A-bom-shabai.,8
17,18,D'oh!,3
17,19,"Itchy, Scratchy, Itchy, Itchy, Scratchy.",3
17,20,Uh!,3
17,21,Mmm-hmm.,2
17,22,Uh!,3
18,1,"Hi, Michael.",2
18,2,Oh...,2
18,3,Where's the beef?,3
18,4,Whoa!,2
18,5,Hello.,6
18,6,Hmm.,3
18,7,Marge?,4
18,8,Huh?,2
18,9,No!,4
18,10,Oh!,2
18,11,Revenge!,4
18,12,"Clean, dirty.",3
18,13,Whee!,3
18,14,That's right.,2
18,15,Hmm...,3
18,16,Okay.,3
18,17,Ooh.,2
18,18,Bart stinks.,3
18,19,Mood swings!,5
18,20,"We need you, boy!",2
18,21,Huh?,3
18,22,Liberals...,5
19,1,Help... me!,3
19,2,Woo-hoo!,2
19,3,Shout!,3
19,4,Who can it be now?,4
19,5,"Hey ho, let's go!",5
19,6,No.,3
19,7,The Simpsons - Series 19 Episode 7 - Husbands & Knives.,1
19,8,I still can't stand him.,4
19,9,Ow!,3
19,10,Ralph!,6
19,11,Brain freeze!,4
19,12,Any minute now.,7
19,13,What the...?,2
19,14,Bell pepper!,2
19,15,No!,3
19,16,"Oh, no, we're gonna die.",2
19,17,Lou?,2
19,18,Anything!,5
19,19,I'm not leaving.,2
19,20,Thank you.,3
20,1,Too-ra-Ioo-ra-li.,2
20,2,Huh?,3
20,3,D'oh!,2
20,4,Hmm.,3
20,5,Marge?,2
20,6,"No, I'm not mad.",3
20,7,Think differently.,4
20,8,Then what?,4
20,9,I'd love to!,2
20,10,D'oh!,3
20,11,D'oh!,2
20,12,D'oh!,2
20,13,No.,3
20,14,D'oh!,3
20,15,Mmm.,2
20,16,Hmm.,3
20,17,Skinner!,2
20,18,Huh?,2
20,19,Gimme gimme Gimme gimme.,4
20,20,Ooh!,4
20,21,Yeah.,2
21,1,"It was so, at the time, insanely edgy.",1
21,2,Don't look at me!,2
21,3,Ah.,2
21,4,"Kill, kill, kill, kill!",3
21,5,Mmm.,2
21,6,Oh!,3
21,7,Huh.,2
21,8,Whack it. Bonk it. Bop it.,2
21,9,More.,3
21,10,Hmm.,5
21,11,D'oh!,2
21,12,"If it's your lucky day, You'd be a fool not to take advantage of it.",2
21,13,Hmm.,4
21,14,Thank you.,3
21,15,Oh.,4
21,16,Is anyone here?,5
21,17,Oh!,3
21,18,"Burns, you're coming with us.",2
21,19,Whoa.,2
21,20,Hmm?,4
21,21,Excuse me.,3
21,22,D'oh!,2
21,23,"Hello, Bart.",4
21,24,"I'm here, I'm gone.",3
22,1,"Oh, I get it.",2
22,2,Hmm!,3
22,3,Team: Bart! Bart! Bart!,2
22,4,Huh?,4
22,5,D'oh!,7
22,6,Haw-haw!,3
22,7,Ooh!,3
22,8,Huh?,2
22,9,Aah!,2
22,10,Mm-hmm.,3
22,11,Yeah! Yeah!,2
22,12,Ooh!,1
22,13,D'oh!,3
22,14,"For God's sake, turn it off!",2
22,15,Nein...,4
22,16,Who is it?,3
22,17,Whoo!,2
22,18,Yeah!,3
22,19,Hmm.,4
22,20,Ugh!,2
22,21,Maggie!,2
22,22,Little help?,3
23,1,Thank you.,2
23,2,D'oh!,2
23,3,D'oh!,2
23,4,It's alive!,2
23,5,Bart and Lisa: Yay!,2
23,6,Gift shop!,2
23,7,Hmm.,3
23,8,Beloved entertainer... sad old man!,2
23,9,Mmm...,2
23,10,Hmm.,3
23,11,D'oh!,3
23,12,D'oh!,2
23,13,Hmm?,3
23,14,Ow!,4
23,15,Hmm...,2
23,16,Hmm.,3
23,17,D'oh!,2
23,18,Huh?,3
23,19,Hmm...,2
23,20,What the...?,2
23,21,Oh!,3
23,22,Voop! Voop! Voop! Voop!,3
24,1,Shh!,1
24,2,All right.,3
24,3,Oh!,3
24,4,Mm-hmm.,3
24,5,On a poker site!,2
24,6,D'oh!,2
24,7,"Dough, sauce, cheese, topping.",5
24,8,Grandpa?!,2
24,9,Oh.,4
24,10,"Come on, Dad!",2
24,11,D'oh!,2
24,12,Wow.,4
24,13,D'oh!,2
24,14,Oh.,4
24,15,Fine.,3
24,16,Hmm?,2
24,17,D'oh!,3
24,18,Hmm.,5
24,19,Church bulletin?,4
24,20,Hmm.,6
24,21,Pass.,3
24,22,Ki-Ya!,3
24,23,Mmm...,3
25,1,Convention!,3
25,2,Gooble goo!,6
25,3,D'oh!,2
25,4,D'oh!,3
25,5,Oh.,5
25,6,Hmm.,5
25,7,Off the list.,3
25,8,Oh!,4
25,9,Oh...,2
25,10,D'oh!,1
25,11,D'oh!,2
25,12,Maggie!,4
25,13,Huh?,2
25,14,D'oh!,2
25,15,"Oh, my God!",3
25,16,D'oh!,2
25,17,Senator!,2
25,18,Oh.,4
25,19,Hmm.,3
25,20,Shh!,3
25,21,D'oh!,7
25,22,"Help me, Bart!",3
26,1,I am Simpson. I am Simpson.,5
26,2,Eat your broccoli.,4
26,3,Huh?,3
26,4,Hmm.,4
26,5,Hmm.,3
26,6,"Why, you little...",7
26,7,D'oh!,4
26,8,Hmm.,4
26,9,D'oh!,6
26,10,Are we there yet?,16
26,11,"Yes, you are.",4
26,12,I don't care about the money.,3
26,13,D'oh!,2
26,14,Oh...,3
26,15,D'oh!,2
26,16,Exactly.,2
26,17,"Oh, yeah!",3
26,18,Oh!,3
26,19,D'oh!,12
26,20,D'oh!,4
26,21,D'oh! Woo-hoo!,3
26,22,D'oh!,2
27,1,Narcolepsy.,4
27,2,Nothing fixes bad times like good food.,2
27,3,Homer: Hmm.,2
27,4,D'oh!,3
27,5,Bart: Trick-or-treat!,1
27,6,That's right.,2
27,7,Homer: D'oh!,3
27,8,Homer: D'oh!,1
27,9,Homer: D'oh!,2
27,10,All: Opa!,3
27,11,Hmm.,3
27,12,Bart: I promise.,2
27,13,D'oh!,2
27,14,On your marks.,2
27,15,Hmm.,5
27,16,Hmm.,4
27,17,Homer: D'oh!,1
27,18,"The Simpsons
Season 27 Episode 18
How Lisa Got Her Marge Back
Original Air Date on April 10, 2016",1
27,19,Thank you.,3
27,20,D'oh!,3
27,21,Mm!,2
27,22,D'oh!,2
28,1,We will rebuild.,3
28,2,Ugh!,2
28,3,On the roster!,2
28,4,Hmm.,3
28,5,Hmm.,2
28,6,Ow!,2
28,7,Hmm.,5
28,8,Hmm.,3
28,9,"Smithers, release the Christmas hounds.",1
28,10,No!,2
28,11,Yeah!,3
28,12,D'oh!,2
28,13,Hmm.,4
28,14,Oh.,4
28,15,D'oh!    ,2
28,16,D'oh!  ,1
28,17,A for-profit college?    ,3
28,18,Got it.    ,5
28,19,Oh.    ,2
28,20,ALL: Aw...    ,3
29,1,Mm! Mm! Mm!   ,2
29,2,Huh.   ,2
29,3,Where's Daddy? Peek-a-boo.   ,2
29,4, Where'd it go?,3
29,5, D'oh!,3
29,6, Monorail.,3
29,7, Ow!,4
29,8, Light!,8
29,9, Hmm.,5
29,10, Ah.,3
29,11," - Hi, Ralph.",4
29,12," I like you, Manacek.",5
29,13, Ooh.,3
29,14, No.,5
29,15, Okay.,5
29,16, - Amends?!,3
29,17, This one's Dad.,4
29,18, Oh!,4
29,19, - No.,10
29,20, No!,3
29,21, Refresh.,12
30,1, Mine.,8
30,2, - Just try out.,3
30,3, Oh.,4
30,4, Mm.,3
30,5, Log off.,3
30,6, No.,4
30,7,Oh.   ,2
30,8,Whoa!    ,2
30,9,D'oh!    ,2
30,10,"Ho, ho, ho!  ",1
30,11,She's dead.   ,2
30,12,Scientists have determined that the secret to a long life  ,1
30,13,Mmm...    ,3
30,14,"Sorry, little dudes, we're gonna be here a while.  ",1
30,15,Skinner's a jerk. Skinner's a jerk. ,2
30,16,Whoa...!    ,2
30,17,"- bankrupted you at Monopoly...
- HOMER: Hmm. Hmm. and aggravated you at Aggravation.  ",1
30,18,I love a good panel.  ,1
30,19,Ow. Ow. Ow.    ,2
30,20,What?!    ,2
30,21,Will you take us to Mount Splashmore?   ,2
30,22,"Let go, let go.  ",1
30,23,D'oh!  ,2
31,1,Strike! Strike! Strike!    ,3
31,2,"BURNS: Happy birthday, Lenny. ",2
31,3,The Simpsons -   31x03   - The Fat Blue Line  ,1
31,4,Still better than a boy.   ,2
31,5, No.,4
31,6, Aw.,4
31,7, Costa Rica!,3
31,8, Mmm.,3
31,9, - Yay!,3
31,10, Yes.,4
31,11, Dubya!,4
31,12, Hmm.,5
31,13, It went in!,5
31,14, No.,5
31,15,"""More"" or ""all done""?   ",8
31,16,Mm-hmm.    ,2
31,17,"Come on, Maggie.  ",1
31,18,"- A-yup.
- A-yup.    ",2
31,19,They want me back?  ,1
31,20,Glad to have known you.    ,3
31,21,Aah!    ,2
31,22,"Oh, Clay.    ",2
